propertyName,pricing,tenure,propertyType,propertySQFT,furnishStatus,numBedroom,numBathroom
"Royal Regent, Dutamas",750000,Freehold,Condominium,1470,Semi Furnished,3 + 1,2 
"Royal Regent, Dutamas",670000,Freehold,Condominium,1015,Semi Furnished,3 ,2 
"Royal Regent, Dutamas",798000,Freehold,Condominium,1590,Semi Furnished,3 + 1,2 
"Royal Regent, Dutamas",650000,Freehold,Condominium,1200,Semi Furnished,3 ,2 
"Royal Regent, Dutamas",700000,Freehold,Condominium,1015,Fully Furnished,3 ,2 
"Royal Regent, Dutamas",620000,Freehold,Condominium,1125,Fully Furnished,2 ,2 
"Royal Regent, Dutamas",600000,Freehold,Condominium,1125,Semi Furnished,2 ,2 
"Sri Putramas II, Dutamas",470000,Freehold,Condominium,1125,Semi Furnished,3 ,2 
"Royal Regent, Dutamas",490000,Freehold,Condominium,870,Semi Furnished,2 ,2 
"M Luna, Kepong",373000,Leasehold,Condominium,700,Unfurnished,2 ,2 
"M Luna, Kepong",450000,Freehold,Condominium,700,Unfurnished,3 ,2 
"Sunway Velocity, Cheras",545900,Freehold,Condominium,1400,Fully Furnished,3 ,3 
"Bayu Tasik 1, Bandar Sri Permaisuri",318000,Freehold,Condominium,904,Semi Furnished,2 ,2 
"Sunway Velocity, Cheras",549000,Freehold,Condominium,1476,Fully Furnished,3 ,3 
"Taman Connaught, Cheras",539000,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Sri Kinabalu, Wangsa Maju",580000,Freehold,Condominium,1938,Semi Furnished,3 ,2 
"Taman Midah, Cheras",539900,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Taman Bukit Hatamas, Cheras",300000,Freehold,Apartment,850,Semi Furnished,3 ,2 
"Suasana Lumayan, Bandar Sri Permaisuri",480000,Freehold,Condominium,1142,Semi Furnished,3 + 1,2 
"Sunway Velocity, Cheras",549000,Freehold,Condominium,1400,Fully Furnished,3 ,3 
"Taman Maluri, Cheras",549000,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Taman Connaught, Cheras",539000,Freehold,Condominium,1374,Fully Furnished,3 ,3 
"M Arisa, Sentul",446000,Freehold,Condominium,878,Semi Furnished,3 ,2 
"M Arisa, Sentul",345000,Freehold,Condominium,708,Semi Furnished,2 ,2 
"Vista Sentul, Sentul",466400,Freehold,Condominium,960,Unfurnished,3 ,2 
"The Goodwood Residence, Bangsar South",675000,Freehold,Serviced Residence,947,Semi Furnished,3 ,2 
"The Goodwood Residence, Bangsar South",1004000,Freehold,Serviced Residence,1399,Semi Furnished,4 ,3 
"Publika Shopping Gallery, Dutamas",349000,Freehold,Condominium,1200,Fully Furnished,3 ,2 
"Taman Melati, Setapak",340000,Freehold,Condominium,1200,Fully Furnished,3 ,2 
"Taman Segar, Cheras",545000,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Taman Wangsa Melawati, Wangsa Maju",468000,Freehold,Condominium,1000,Unfurnished,3 + 1,2 
"Taman Desa Petaling, Desa Petaling",265000,Leasehold,Apartment,828,Unfurnished,3 ,2 
"Jati Selatan Apartment, Desa Petaling",279000,Freehold,Apartment,828,Fully Furnished,3 ,2 
"Section 2, Bandar Mahkota Cheras",580000,Freehold,Link,2000,Semi Furnished,4 + 1,3 
"Cheras Vista, Bandar Mahkota Cheras",728000,Freehold,Link,2300,Fully Furnished,4 ,3 
"M City, Ampang Hilir",600000,Freehold,Condominium,781,Fully Furnished,1 ,1 
"Medan Putra Business Centre, Bandar Menjalara",220000,Freehold,Office,770,Unfurnished,N / A,N / A
"Medan Putra Business Centre, Bandar Menjalara",140000,Freehold,Office,750,Unfurnished,1 ,1 
"Jalan Sungai Besi, Kuala Lumpur",486000,Freehold,Condominium,918,Unfurnished,3 ,2 
"Jalan Sungai Besi, Kuala Lumpur",486000,Freehold,Condominium,900,Unfurnished,3 ,2 
"Paraiso @ The Earth Bukit Jalil, Bukit Jalil",479000,Freehold,Condominium,960,Semi Furnished,3 ,2 
"Paraiso @ The Earth Bukit Jalil, Bukit Jalil",576000,Freehold,Condominium,1226,Semi Furnished,4 ,2 
"Paraiso @ The Earth Bukit Jalil, Bukit Jalil",547000,Freehold,Condominium,1101,Semi Furnished,4 ,2 
"Precinct 18, Putrajaya",1090000,Freehold,Terrace,2500,Unfurnished,4 ,4 
"Bukit Jalil Golf & Country Resort, Bukit Jalil",5336000,Freehold,Land,9200,Unfurnished,0 ,0 
"Bukit Jalil Golf & Country Resort, Bukit Jalil",3000000,Freehold,Land,5750,Unfurnished,0 ,0 
"Pantai Sentral Park, Pantai",285000,Freehold,Condominium,900,Unfurnished,3 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",1468220,Freehold,Serviced Residence,2470,Semi Furnished,4 + 1,4 + 2
"Bukit Jalil Golf & Country Resort, Bukit Jalil",3640000,Freehold,Land,6500,Unfurnished,0 ,0 
"Vivo Residential @ 9 Seputeh, Old Klang Road",1375000,Freehold,Serviced Residence,2470,Semi Furnished,4 + 1,4 + 1
"Tria Residences @ 9 Seputeh, Old Klang Road",898898,Freehold,Condominium,1001,Fully Furnished,3 ,2 
"Residensi Suria Pantai, Kuala Lumpur",275000,Freehold,Condominium,1000,Unfurnished,3 ,2 
"The Goodwood Residence, Bangsar South",675000,Freehold,Condominium,947,Semi Furnished,3 ,2 
"Waltz Residences, Kuala Lumpur",650000,Freehold,Condominium,985,Fully Furnished,2 + 1,3 
"Isola KLCC, Kuala Lumpur",0,Freehold,Condominium,1000000,Fully Furnished,2 ,2 
"Jendela Residences @ KLGCC, Kuala Lumpur",1247800,Leasehold,Serviced Residence,1324,Semi Furnished,3 ,2 
"Parc 3, Cheras",958500,Freehold,Condominium,1278,Semi Furnished,4 ,3 
"M Vertica, Cheras",450096,Freehold,Serviced Residence,850,Semi Furnished,3 ,2 
"Bliss Bayu Gasing Residency, Old Klang Road",0,Freehold,Condominium,947,Semi Furnished,4 ,2 
"Taman Wangsa Permai, Kepong",620000,Freehold,Terrace,1305,Semi Furnished,4 ,3 
"Taman Pusat Kepong, Kepong",850000,Freehold,Shop,2000,Semi Furnished,N / A,N / A
"Laman Rimbunan, Kepong",235000,Freehold,Apartment,650,Semi Furnished,3 ,2 
"Sri Intan 1, Jalan Ipoh",315000,Freehold,Condominium,1054,Semi Furnished,3 ,2 
"Taman Kok Lian, Jalan Ipoh",850000,Freehold,Terrace,1430,Semi Furnished,4 ,3 
"Laman Rimbunan, Kepong",1250000,Freehold,Terrace,2000,Semi Furnished,6 ,5 
"Sunway SPK Damansara, Kepong",1700000,Freehold,Terrace,3300,Semi Furnished,5 ,3 
"Vista Mutiara, Kepong",355000,Leasehold,Apartment,1001,Semi Furnished,3 ,2 
"First Residence, Kepong",420000,Freehold,Condominium,930,Fully Furnished,3 ,2 
"Taman Mastiara, Jalan Ipoh",1300000,Freehold,Terrace,2800,Semi Furnished,4 ,3 
"Taman Tasik Indah, Jalan Ipoh",1160000,Freehold,Terrace,3200,Semi Furnished,5 ,6 
"Nova @ Sri Utara, Jalan Ipoh",2400000,Freehold,Semi Detached,4200,Semi Furnished,6 ,6 
"Amandari, Segambut",599000,Freehold,Duplex,1600,Semi Furnished,4 ,3 
"Laman Residen, Jalan Ipoh",1400000,Freehold,Semi Detached,3000,Semi Furnished,4 ,3 
"Kepong Baru, Kepong",560000,Leasehold,Terrace,1430,Semi Furnished,3 ,1 
"LeVenue, Desa ParkCity",6300000,Freehold,Bungalow,5150,Semi Furnished,8 ,7 
"LeVenue, Desa ParkCity",5700000,Freehold,Semi Detached,4000,Semi Furnished,7 ,7 
"Casa Prima, Kepong",390000,Leasehold,Condominium,1150,Semi Furnished,3 ,2 
"Kepong Baru, Kepong",1450000,Freehold,Terrace,3547,Semi Furnished,3 ,2 
"Taman Kepong, Kepong",935000,Freehold,Terrace,2100,Semi Furnished,4 ,3 
"Taman Menjalara, Bandar Menjalara",850000,Freehold,Terrace,2420,Semi Furnished,4 ,3 
"Casa Residence, Bandar Mahkota Cheras",1300000,Freehold,Semi Detached,3618,Semi Furnished,6 + 1,5 
"Taman Sri Sinar, Segambut",548000,Freehold,Terrace,1500,Semi Furnished,3 ,3 
"Taman Usaha Jaya, Kepong",730000,Freehold,Terrace,1800,Semi Furnished,4 ,2 
"Taman Tasik Indah, Jalan Ipoh",1360000,Freehold,Terrace,2800,Unfurnished,6 ,6 
"Taman Residensi, Jalan Ipoh",1900000,Freehold,Semi Detached,3880,Semi Furnished,5 ,4 
"Vista Mutiara, Kepong",400000,Freehold,Condominium,1148,Semi Furnished,3 ,2 
"Taman Sri Sinar, Segambut",638000,Freehold,Terrace,1200,Semi Furnished,2 ,2 
"Taman Sri Sinar, Segambut",695000,Freehold,Terrace,1600,Semi Furnished,3 ,3 
"Taman Bukit Maluri, Kepong",780000,Freehold,Terrace,1700,Semi Furnished,4 ,3 
"Sri Jinjang Apartment, Jinjang",365000,Freehold,Condominium,950,Semi Furnished,3 ,2 
"Adora, Desa ParkCity",2450000,Freehold,Terrace,2509,Semi Furnished,5 ,4 
"Taman Bukit Maluri, Kepong",1450000,Freehold,Terrace,3168,Semi Furnished,3 ,3 
"Midfields, Sungai Besi",480000,Leasehold,Condominium,1074,Fully Furnished,3 ,2 
"Section 3, Bandar Mahkota Cheras",680000,Freehold,Link,2000,Semi Furnished,4 ,3 
"OUG Square, Old Klang Road",468999,Leasehold,Serviced Residence,1080,Semi Furnished,3 ,2 
"You City, Batu 9 Cheras",699000,Freehold,Condominium,1459,Fully Furnished,4 ,3 
"Jalan Sungai Besi, Kuala Lumpur",468999,Leasehold,Condominium,1060,Unfurnished,3 ,2 
"Taman Bukit Hatamas, Cheras",750000,Freehold,Link,2000,Semi Furnished,4 ,3 
"M Vertica, Cheras",445000,Freehold,Condominium,900,Semi Furnished,3 ,2 
"Southbank Residence, Old Klang Road",493000,Freehold,Serviced Residence,800,Semi Furnished,2 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",897260,Freehold,Condominium,1238,Semi Furnished,3 + 1,2 + 1
"Continew, Pudu",669600,Freehold,Condominium,702,Semi Furnished,1 + 1,2 
"One Central Park, Desa ParkCity",1400000,Freehold,Condominium,1303,Semi Furnished,2 ,2 
"Residensi Vista Agresif, Cheras",328000,Freehold,Condominium,924,Unfurnished,3 ,2 
"Perdana Puri, Kepong",280000,Freehold,Apartment,903,Semi Furnished,3 ,2 
