propertyName,pricing,tenure,propertyType,propertySQFT,furnishStatus,numBedroom,numBathroom
"Taman Ehsan, Kepong",600000,Freehold,Terrace,1650,Semi Furnished,3 ,2 
"Precinct 11, Putrajaya",735000,Freehold,Terrace,2000,Semi Furnished,4 + 1,3 
"Seri Cempaka, Cheras",280000,Leasehold,Serviced Residence,416,Fully Furnished,1 ,1 
"Precinct 10, Putrajaya",2218825,Freehold,Land,14315,Unfurnished,0 ,0 
"Platinum Hill PV3, Setapak",390000,Freehold,Condominium,1272,Semi Furnished,3 ,2 
"Precinct 16, Putrajaya",430000,Freehold,Townhouse,1216,Semi Furnished,3 ,3 
"Vipod Suites, KLCC",2800000,Freehold,Serviced Residence,1299,Fully Furnished,2 + 1,2 
"Taman Midah, Cheras",7500000,Freehold,Shop,6400,Unfurnished,N / A,N / A
"Menara Orkid, Sentul",265000,Freehold,Condominium,833,Unfurnished,3 ,2 
"Prima Setapak I, Setapak",365000,Leasehold,Condominium,1227,Unfurnished,3 ,2 
"Q Sentral, KL Sentral",4800000,Freehold,Office,1800,Fully Furnished,N / A,N / A
"Q Sentral, KL Sentral",3030000,Freehold,Office,2000,Unfurnished,N / A,N / A
"Desa Andaman, Wangsa Maju",960000,Leasehold,Terrace,2600,Semi Furnished,5 ,3 
"Dwiputra Residences, Putrajaya",520000,Freehold,Condominium,1259,Unfurnished,3 + 1,3 
"Spring Avenue, Kuchai Lama","Auction 
            @ RM 408300",Freehold,Serviced Residence,990,Semi Furnished,0 ,0 
"Taman Sungai Besi, Sungai Besi",225000,Leasehold,Apartment,814,Unfurnished,3 ,2 
"KL Traders Square, Kuala Lumpur",479000,Freehold,Condominium,918,Semi Furnished,3 ,2 
"The Hipster, Taman Desa",378000,Leasehold,Condominium,921,Unfurnished,3 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",698000,Freehold,Condominium,1072,Semi Furnished,3 ,2 
"Venice Hill, Batu 9 Cheras",350000,Freehold,Condominium,1615,Semi Furnished,4 ,3 
"Taman Sungai Besi, Sungai Besi",240000,Leasehold,Apartment,814,Unfurnished,3 ,2 
"Lake Fields, Sungai Besi","Auction 
            @ RM 1180980",Freehold,Terrace,,Unfurnished,4 + 1,5 + 1
"Lakeville Residence, Jalan Ipoh","Auction 
            @ RM 467200",Freehold,Serviced Residence,1329,Semi Furnished,0 ,0 
"Vista Mutiara, Kepong",398000,Freehold,Apartment,1001,Semi Furnished,3 ,2 
"Greenpark, Old Klang Road",438000,Freehold,Condominium,1246,Semi Furnished,3 ,2 
"Taman Cuepacs, Batu 9 Cheras",99000,Freehold,Apartment,624,Unfurnished,2 ,1 
"Taman Bukit Cheras, Cheras",170000,Freehold,Apartment,520,Unfurnished,2 ,1 
"The Estate, Bangsar South",45000000,Freehold,Land,32278,Unfurnished,0 ,0 
"Q Suite @ Queensville, Bandar Sri Permaisuri",380000,Freehold,Condominium,526,Semi Furnished,0 ,1 
"Sky Awani 4, Danau Kota",300000,Leasehold,Condominium,800,Semi Furnished,3 ,2 
"Panorama, KLCC",1500000,Freehold,Condominium,1227,Fully Furnished,2 ,2 
"The Park Sky Residence @ Bukit Jalil City, Bukit Jalil",790000,Freehold,Serviced Residence,868,Semi Furnished,2 ,2 
"M City, Ampang Hilir",1000000,Freehold,Duplex,910,Fully Furnished,1 ,1 
"1Sentul, Sentul",580000,Freehold,Condominium,1355,Fully Furnished,4 ,2 
"Taman Wahyu, Jalan Ipoh",846000,Freehold,Terrace,2200,Semi Furnished,4 ,3 
"Mont Kiara Pelangi, Mont Kiara",880000,Freehold,Condominium,1280,Fully Furnished,3 ,2 
"Pantai Panorama, Pantai",630000,Freehold,Condominium,1250,Semi Furnished,2 ,2 
"Axon, Bukit Bintang",678000,Freehold,Serviced Residence,450,Fully Furnished,1 ,1 
"Taman Desa, Kuala Lumpur",378000,Leasehold,Condominium,921,Unfurnished,3 ,2 
"Residensi Sefina, Mont Kiara",1150000,Freehold,Condominium,1333,Unfurnished,3 ,2 
"Connaught Avenue, Cheras",425000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Connaught Avenue, Cheras",400000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Taman Orkid, Batu 9 Cheras",189000,Freehold,Apartment,728,Unfurnished,3 ,1 
"Mutiara Upper East, Desa Pandan","Auction 
            @ RM 1053000",Freehold,Condominium,2077,Unfurnished,0 ,0 
"Bayu Tasik 2, Bandar Sri Permaisuri",440000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Hampshire Residences, KLCC",2400000,Freehold,Condominium,2398,Fully Furnished,4 ,5 
"Maytower, Dang Wangi",380000,Freehold,Condominium,493,Fully Furnished,1 ,1 
"Maytower, Dang Wangi",410000,Freehold,Condominium,493,Fully Furnished,1 ,1 
"Maytower, Dang Wangi",350000,Freehold,Condominium,493,Fully Furnished,1 ,1 
"Panorama, KLCC",1500000,Freehold,Condominium,1227,Fully Furnished,2 ,2 
"Fortune Avenue, Kepong",445000,Freehold,Apartment,1137,Unfurnished,3 ,2 
"La Grande Kiara, Mont Kiara",1050000,Freehold,Condominium,2000,Fully Furnished,4 ,4 
"PV9 Residences, Setapak",498000,Freehold,Condominium,1300,Semi Furnished,4 ,3 
"PV9 Residences, Setapak",450000,Freehold,Condominium,1001,Semi Furnished,3 ,2 
"28 Mont Kiara, Mont Kiara",2400000,Freehold,Condominium,3000,Semi Furnished,3 + 1,4 
"Section 2, Wangsa Maju",210000,Leasehold,Apartment,533,Unfurnished,2 ,1 
"Jalan Bangsar, Kuala Lumpur",1300000,Freehold,Terrace,1600,Unfurnished,3 ,3 
"Teratai Mewah Apartment, Setapak",310000,Freehold,Apartment,930,Semi Furnished,3 ,2 
"Venice Hill, Batu 9 Cheras",350000,Freehold,Condominium,1615,Fully Furnished,4 ,3 
"Four Seasons Place, KLCC",3595000,Freehold,Serviced Residence,1701,Semi Furnished,3 ,3 
"Four Seasons Place, KLCC",2697000,Freehold,Serviced Residence,1345,Semi Furnished,2 ,2 
"Taman Segambut Damai, Segambut",399000,Freehold,Terrace,1000,Semi Furnished,3 ,2 
"Four Seasons Place, KLCC",3118000,Freehold,Serviced Residence,1399,Semi Furnished,2 + 1,2 
"Fortune Avenue, Kepong",438000,Freehold,Apartment,1137,Semi Furnished,3 ,2 
"Dwiputra Residences, Putrajaya",460000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Precinct 15, Putrajaya",2800000,Freehold,Shop,5100,Unfurnished,N / A,N / A
"Taman Segambut Damai, Segambut",399000,Freehold,Terrace,1000,Semi Furnished,3 ,2 
"Adiva, Desa ParkCity",2000000,Freehold,Terrace,1797,Semi Furnished,3 + 1,3 
"Taman Bukit Segar, Cheras",790000,Leasehold,Terrace,2400,Semi Furnished,5 ,4 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Vistaria Residensi, Cheras",525000,Leasehold,Condominium,1050,Semi Furnished,3 ,2 
"Wangsa 9 Residency, Wangsa Maju",1300000,Freehold,Condominium,1733,Unfurnished,0 ,0 
"Q Sentral, KL Sentral",570000,Freehold,Office,380,Unfurnished,N / A,N / A
"Stonor Park, KLCC",4183400,Freehold,Condominium,3218,Semi Furnished,4 + 1,4 + 2
"Q Sentral, KL Sentral",177000,Freehold,Office,118,Unfurnished,N / A,N / A
"Q Sentral, KL Sentral",600000,Freehold,Office,400,Unfurnished,N / A,N / A
"Q Sentral, KL Sentral",420000,Freehold,Office,280,Unfurnished,N / A,N / A
"The Horizon Residences, KLCC",1100000,Freehold,Condominium,915,Fully Furnished,2 ,2 
"The Westside One, Desa ParkCity",1630000,Freehold,Condominium,2066,Fully Furnished,4 ,4 
"United Point Residence, Segambut",528000,Freehold,Serviced Residence,829,Semi Furnished,3 ,2 
"Rahim Kajai, TTDI",2980000,Freehold,Semi Detached,4200,Semi Furnished,4 + 1,3 
"The Park Sky Residence @ Bukit Jalil City, Bukit Jalil",1000000,Freehold,Condominium,1044,Semi Furnished,3 ,2 
"The Link 2 @ Bukit Jalil, Bukit Jalil",900000,Freehold,Condominium,1218,Semi Furnished,3 ,3 
"Hamilton Residence, Wangsa Maju",550000,Freehold,Condominium,1000,Unfurnished,3 ,2 
"Villa Wangsamas, Wangsa Maju",480000,Freehold,Condominium,1267,Semi Furnished,3 ,3 
"Sunway Vivaldi, Mont Kiara",3100000,Freehold,Condominium,4047,Semi Furnished,5 ,6 
"Kiara 1888, Mont Kiara",2500000,Freehold,Duplex,4000,Semi Furnished,5 + 1,5 
"Flora Murni, Mont Kiara",1880000,Freehold,Duplex,3100,Semi Furnished,3 + 1,4 + 1
"Mont Kiara Aman, Mont Kiara",1790000,Freehold,Condominium,2648,Fully Furnished,3 + 1,3 
"The Pearl, KLCC",2923150,Freehold,Serviced Residence,3439,Fully Furnished,3 + 1,5 
"Banyan Tree, KLCC",2500000,Freehold,Condominium,1087,Unfurnished,0 ,0 
"Residency V, Old Klang Road",549999,Freehold,Serviced Residence,699,Semi Furnished,2 ,2 
"Seni, Mont Kiara",2500000,Freehold,Condominium,3541,Semi Furnished,5 ,5 
"Taman Halimahton, Old Klang Road",1450000,Freehold,Terrace,5000,Semi Furnished,6 ,5 
"Alam Sutera, Bukit Jalil",1800000,Freehold,Semi Detached,3159,Fully Furnished,4 + 1,5 + 1
"Taman Jaya, Bandar Tun Razak",580000,Leasehold,Terrace,1600,Semi Furnished,5 ,3 
"Desa Hill Villas, Desa Petaling",3200000,Freehold,Semi Detached,4748,Unfurnished,4 ,5 
"Clearwater Residence, Damansara Heights",3000000,Freehold,Condominium,3283,Semi Furnished,5 ,6 
"Petaling Indah, Sungai Besi",315000,Freehold,Condominium,855,Fully Furnished,2 ,2 
"Petaling Indah, Sungai Besi",295000,Freehold,Condominium,855,Semi Furnished,2 ,2 
"Midfields 2, Sungai Besi",890000,Freehold,Condominium,1983,Fully Furnished,4 ,5 
"Midfields, Sungai Besi",890000,Freehold,Condominium,1983,Fully Furnished,4 ,5 
"You Residences @ You City, Batu 9 Cheras",750000,Freehold,Condominium,1459,Fully Furnished,4 ,3 
"Vistana Mahkota, Bandar Mahkota Cheras",280000,Freehold,Apartment,861,Semi Furnished,3 ,2 
"Lido Residency, Bandar Sri Permaisuri",700000,Leasehold,Condominium,1093,Fully Furnished,3 ,2 
"Tijani 2 North, Kenny Hills",2700000,Freehold,Condominium,2993,Semi Furnished,5 ,5 
"Jalan Tuanku Abdul Rahman, Chow Kit",19000000,Freehold,Shop,7920,Unfurnished,N / A,N / A
"Ayer@8, Putrajaya",2950000,Freehold,Office,3826,Unfurnished,N / A,N / A
"8th & Stellar, Sri Petaling",609000,Freehold,Condominium,818,Semi Furnished,3 ,2 
"8th & Stellar, Sri Petaling",528000,Leasehold,Duplex,711,Semi Furnished,1 ,2 
"The Holmes 2, Bandar Tun Razak",368000,Freehold,Condominium,943,Semi Furnished,3 ,2 
"The Hermington, Kuchai Lama",440000,Freehold,Condominium,1075,Semi Furnished,3 ,2 
"The Holmes 2, Bandar Tun Razak",368000,Leasehold,Condominium,943,Semi Furnished,3 ,0 
"Taman Menjalara, Bandar Menjalara",708000,Freehold,Terrace,2000,Semi Furnished,4 ,3 
"Waltz Residences, Kuala Lumpur",693000,Freehold,Condominium,948,Unfurnished,3 ,2 
"Endah Ria, Sri Petaling",370000,Freehold,Condominium,1385,Semi Furnished,0 ,0 
"Desa Pinggiran Putra, Putrajaya",885000,Leasehold,Land,15198,Unfurnished,0 ,0 
"Vista Hatamas, Cheras",258888,Freehold,Apartment,850,Unfurnished,3 ,2 
"Taman Melawati, Kuala Lumpur",1650000,Freehold,Terrace,3700,Fully Furnished,5 ,5 
"Marc Service Residence, KLCC",1300000,Freehold,Condominium,900,Fully Furnished,2 ,2 
"Ayer@8, Putrajaya",700000,Freehold,Condominium,1205,Semi Furnished,3 ,2 
"The Westside One, Desa ParkCity",1650000,Freehold,Condominium,2066,Fully Furnished,4 ,4 
"Precinct 8, Putrajaya",840000,Freehold,Terrace,2000,Semi Furnished,3 + 1,3 
"Menara Hartamas, Sri Hartamas",1500000,Freehold,Condominium,3500,Unfurnished,5 ,4 
"Teratai Mewah Apartment, Setapak",272000,Freehold,Apartment,653,Semi Furnished,3 ,2 
"The Como, Bukit Jalil",630000,Freehold,Condominium,903,Semi Furnished,2 ,2 
"Axon, Bukit Bintang",668000,Freehold,Condominium,450,Fully Furnished,1 ,1 
"The Hipster, Taman Desa",378000,Leasehold,Condominium,921,Unfurnished,3 ,2 
"BloomsVale, Old Klang Road",499000,Freehold,Serviced Residence,661,Fully Furnished,2 ,2 
"Kiaraville, Mont Kiara",1450000,Freehold,Condominium,1900,Fully Furnished,4 ,4 
"Emerald Residence, Bandar Mahkota Cheras",480000,Freehold,Condominium,1266,Fully Furnished,3 ,2 
"Canary Residence, Cheras",1000000,Freehold,Terrace,2395,Semi Furnished,5 ,5 
"Menara Polo, Ampang Hilir",500000,Freehold,Condominium,1485,Semi Furnished,3 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",860000,Leasehold,Serviced Residence,1238,Fully Furnished,3 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",850000,Freehold,Serviced Residence,1238,Semi Furnished,3 ,2 
"Residensi Sefina, Mont Kiara",1500000,Freehold,Condominium,1771,Semi Furnished,3 + 1,3 + 1
"Residensi Sefina, Mont Kiara",1300000,Freehold,Condominium,1548,Semi Furnished,3 + 1,2 + 1
"Residensi Sefina, Mont Kiara",1080000,Freehold,Condominium,1333,Semi Furnished,3 ,2 
"Kuchai Avenue, Kuchai Lama",480000,Freehold,Condominium,935,Semi Furnished,3 ,2 
"Taman OUG, Old Klang Road",2800000,Freehold,Semi Detached,4088,Fully Furnished,7 ,5 
"Waltz Residences, Kuala Lumpur",1145000,Freehold,Condominium,1691,Semi Furnished,4 ,4 
"Kawasan Perusahaan Segambut, Segambut",10500000,Freehold,Factory,20000,Semi Furnished,N / A,N / A
"Sri Putramas II, Dutamas",530000,Freehold,Condominium,1260,Semi Furnished,3 ,2 
"Taman Wangsa Permai, Kepong",780000,Freehold,Terrace,1500,Semi Furnished,4 ,4 
"You Vista @ You City, Batu 9 Cheras",990000,Freehold,Condominium,2413,Unfurnished,3 + 2,5 
"Tria Residences @ 9 Seputeh, Old Klang Road",1445000,Freehold,Serviced Residence,1991,Semi Furnished,4 ,3 
"The Z Residence, Bukit Jalil",720000,Freehold,Condominium,1236,Fully Furnished,3 + 1,2 
"Precinct 16, Putrajaya",960000,Freehold,Terrace,3010,Unfurnished,5 ,4 
"Precinct 16, Putrajaya",3800000,Freehold,Bungalow,4950,Semi Furnished,6 ,6 
"The Havre, Bukit Jalil",560000,Freehold,Condominium,1023,Fully Furnished,3 ,3 
"Kiara 9, Mont Kiara",1800000,Freehold,Condominium,2201,Fully Furnished,3 ,2 
"D'Majestic, Pudu",450000,Freehold,Serviced Residence,304,Fully Furnished,1 ,1 
"Casa Magna, Kepong",350000,Freehold,Condominium,950,Semi Furnished,3 ,2 
"Saville Residence, Old Klang Road",17800000,Freehold,Factory,62400,Unfurnished,N / A,N / A
"Rivercity, Sentul",660000,Freehold,Condominium,1345,Fully Furnished,3 + 1,3 
"Mawar Apartment, Sentul",325000,Freehold,Apartment,850,Semi Furnished,3 ,2 
"myHabitat, KLCC",875000,Freehold,Condominium,872,Fully Furnished,2 ,1 
"ForestHill Damansara, Bandar Sri Damansara",3200000,Freehold,Bungalow,5485,Semi Furnished,4 + 2,6 + 1
"Sri Jinjang Apartment, Jinjang",299000,Freehold,Apartment,835,Semi Furnished,3 ,0 
"Sri Desa, Kuchai Lama",350000,Freehold,Condominium,970,Semi Furnished,2 ,2 
"Taman Sri Bintang, Kepong",1550000,Freehold,Terrace,,Semi Furnished,4 ,1 
"Bukit Tiara, Cheras",1700000,Freehold,Land,9901,Unfurnished,0 ,0 
"Alpha Villa, Wangsa Maju",385000,Freehold,Apartment,1070,Unfurnished,3 + 1,2 
"Flora Murni, Mont Kiara",4400000,Freehold,Semi Detached,4300,Semi Furnished,6 + 1,5 
"The Westside Three, Desa ParkCity",1200000,Freehold,Condominium,1325,Fully Furnished,2 + 1,2 
"Safa, Desa ParkCity",2380000,Freehold,Link,2500,Semi Furnished,3 + 1,2 + 1
"Mont Kiara Banyan, Mont Kiara",3800000,Freehold,Serviced Residence,4863,Semi Furnished,5 ,6 
"The Westside Two, Desa ParkCity",1550000,Freehold,Condominium,1680,Fully Furnished,3 + 1,2 + 1
"Puncak Kiara, Mont Kiara",4030000,Freehold,Land,6200,Unfurnished,0 ,0 
"Lumina Kiara, Mont Kiara",1088000,Freehold,Condominium,1448,Fully Furnished,2 + 1,3 
"Puncak Kiara, Mont Kiara",5100000,Freehold,Land,8500,Unfurnished,0 ,0 
"Rimbun, Ampang Hilir",5100000,Freehold,Condominium,4412,Semi Furnished,4 + 2,5 
"Seni, Mont Kiara",13000000,Freehold,Condominium,8902,Semi Furnished,7 ,9 
"Nobleton Crest, Ampang Hilir",5571800,Freehold,Condominium,5834,Unfurnished,4 + 1,4 
"Amarin Wickham, Ampang Hilir",4800000,Freehold,Condominium,6763,Semi Furnished,4 + 1,5 
"Laman Suria, Mont Kiara",668000,Freehold,Condominium,1100,Fully Furnished,2 + 1,2 
"Taman Batu Permai, Jalan Ipoh",547000,Freehold,Terrace,1600,Semi Furnished,4 ,3 
"The Troika, KLCC",4001000,Freehold,Condominium,2674,Fully Furnished,3 ,4 
"Dua Residency, KLCC",1690000,Freehold,Condominium,2098,Fully Furnished,3 ,3 
"Verticas Residensi, Bukit Ceylon",1400000,Freehold,Condominium,1427,Fully Furnished,2 ,2 
"Binjai 8, KLCC",900000,Freehold,Condominium,730,Fully Furnished,1 ,1 
"Pavilion Residences, Bukit Bintang",2610000,Freehold,Condominium,1307,Semi Furnished,2 ,2 
"Binjai Residency, KLCC",2095000,Freehold,Condominium,2208,Fully Furnished,3 ,4 
"The Mews, KLCC",1350000,Freehold,Condominium,925,Fully Furnished,1 ,1 
"One KL, KLCC",3937000,Freehold,Condominium,3285,Semi Furnished,3 ,5 
"Marc Service Residence, KLCC",895000,Freehold,Condominium,500,Fully Furnished,0 ,1 
"Tropicana The Residences, KLCC",2500000,Freehold,Condominium,710,Fully Furnished,1 ,1 
"Three28 Tun Razak, KLCC",1000000,Freehold,Condominium,710,Fully Furnished,1 ,1 
"Taman Bukit Cheras, Cheras",918000,Freehold,Terrace,1800,Fully Furnished,3 ,3 
"Putra Suria Residence, Bandar Sri Permaisuri",300000,Freehold,Condominium,750,Semi Furnished,3 ,2 
"Three28 Tun Razak, KLCC",1400000,Freehold,Condominium,1281,Semi Furnished,3 ,3 
"Three28 Tun Razak, KLCC",1100000,Freehold,Condominium,915,Semi Furnished,2 ,2 
"City Gardens, Bukit Ceylon",830000,Freehold,Condominium,1625,Fully Furnished,3 ,3 
"Millerz Square, Old Klang Road",550000,Freehold,Serviced Residence,459,Semi Furnished,2 ,2 
"Bukit Bangsar, Bangsar",6500000,Freehold,Bungalow,5700,Semi Furnished,4 + 1,6 
"Pavilion Hilltop, Mont Kiara",1600000,Freehold,Condominium,1496,Semi Furnished,3 + 1,4 
"Taman United, Old Klang Road",3500000,Freehold,Bungalow,5200,Semi Furnished,6 ,7 
"Endah Promenade, Sri Petaling",380000,Freehold,Condominium,740,Fully Furnished,2 ,1 
"Amarin Wickham, Ampang Hilir",3600000,Freehold,Condominium,6598,Semi Furnished,4 + 1,7 
"Nova I, Segambut",2500000,Freehold,Semi Detached,4294,Unfurnished,5 + 1,6 
"Setia Sky Residences, KLCC",565000,Freehold,Condominium,635,Semi Furnished,1 ,1 
"Kepong Baru, Kepong",1200000,Freehold,Terrace,1800,Semi Furnished,5 ,2 
"Setia Sky Residences, KLCC",1600000,Freehold,Condominium,1313,Semi Furnished,2 + 1,2 
"Rahim Kajai, TTDI",1490000,Freehold,Terrace,1800,Semi Furnished,3 + 1,3 
"Vipod Suites, KLCC",1200000,Freehold,Condominium,1190,Semi Furnished,2 + 1,2 + 1
"10 Semantan, Damansara Heights",290000,Freehold,Condominium,520,Fully Furnished,0 ,1 
"Nadia, Desa ParkCity",2260000,Freehold,Terrace,2800,Fully Furnished,4 ,4 
"Adiva, Desa ParkCity",1900000,Freehold,Terrace,1800,Fully Furnished,3 + 1,3 
"SkyLuxe On The Park, Bukit Jalil",1050000,Freehold,Serviced Residence,1250,Semi Furnished,3 ,2 
"Casaman, Desa ParkCity",4000000,Freehold,Superlink,5448,Unfurnished,5 + 1,5 + 2
"Q Sentral, KL Sentral",7200000,Freehold,Office,4500,Fully Furnished,N / A,N / A
"Desa Gembira, Kuchai Lama",465000,Freehold,Condominium,1257,Unfurnished,3 ,2 
"Le Yuan Residence, Kuchai Lama",1150000,Freehold,Condominium,1710,Fully Furnished,4 ,4 
"Le Yuan Residence, Kuchai Lama",1500000,Freehold,Condominium,1710,Fully Furnished,4 ,4 
"J.dupion, Cheras",500000,Leasehold,Serviced Residence,803,Semi Furnished,2 ,2 
"KiPark Sri Utara, Jalan Ipoh",1900000,Freehold,Terrace,3400,Semi Furnished,5 ,4 
"Idaman Sutera, Setapak",260000,Freehold,Condominium,845,Semi Furnished,3 ,2 
"Bayu Tasik 1, Bandar Sri Permaisuri",395000,Leasehold,Condominium,927,Unfurnished,3 ,2 
"Sentrio Suites, Desa Pandan",1200000,Leasehold,Serviced Residence,1237,Semi Furnished,3 ,3 
"Solaris Mont Kiara, Mont Kiara",984000,Freehold,Office,1259,Fully Furnished,N / A,N / A
"Augusta, Putrajaya",2173139,Freehold,Semi Detached,4219,Unfurnished,5 + 1,6 + 1
"St Regis Residences, KL Sentral",3740000,Freehold,Serviced Residence,1648,Unfurnished,1 ,0 
"St Regis Residences, KL Sentral",5460000,Freehold,Serviced Residence,2408,Unfurnished,2 ,0 
"St Regis Residences, KL Sentral",3490000,Freehold,Serviced Residence,1541,Unfurnished,1 ,0 
"St Regis Residences, KL Sentral",1860000,Freehold,So Ho/Studio,820,Unfurnished,0 ,0 
"St Regis Residences, KL Sentral",9640000,Freehold,Serviced Residence,4253,Unfurnished,3 ,0 
"Putra Damai Apartment, Putrajaya",299000,Freehold,Apartment,700,Unfurnished,3 ,2 
"Sri Damansara Court, Bandar Sri Damansara",375000,Freehold,Apartment,867,Semi Furnished,3 ,2 
"Sentul Utama Condominium, Sentul",320000,Freehold,Apartment,877,Unfurnished,3 ,2 
"Arte +, Jalan Ampang",600000,Freehold,Condominium,898,Fully Furnished,3 ,2 
"Taman Sri Keramat AU2, Wangsa Maju",749000,Leasehold,Terrace,1760,Unfurnished,4 ,3 
"Solaris Dutamas, Dutamas",850000,Freehold,Condominium,672,Fully Furnished,1 ,1 
"Berlian Residence @ Setapak, Kuala Lumpur",720000,Freehold,Condominium,1805,Fully Furnished,6 ,4 
"St Regis Residences, KL Sentral",2282000,Freehold,Serviced Residence,820,Fully Furnished,1 ,1 
"One Central Park, Desa ParkCity",1400000,Freehold,Condominium,1303,Semi Furnished,2 ,2 
"Scenaria, Segambut",600000,Freehold,Condominium,1019,Unfurnished,3 ,2 
"The Breezeway, Desa ParkCity",1950000,Freehold,Condominium,1851,Semi Furnished,3 + 1,2 + 2
"Nadia, Desa ParkCity",2200000,Freehold,Condominium,2616,Semi Furnished,4 + 1,4 + 1
"28 Mont Kiara, Mont Kiara",1950000,Freehold,Condominium,2700,Fully Furnished,3 + 1,2 
"Sentul Utama Condominium, Sentul",329000,Freehold,Condominium,874,Semi Furnished,3 ,2 
"Plaza Damas 3, Sri Hartamas",400000,Freehold,Serviced Residence,495,Fully Furnished,0 ,1 
"Plaza Damas 3, Sri Hartamas",420000,Freehold,Condominium,495,Fully Furnished,0 ,1 
"Bougainvilla, Segambut",390000,Freehold,Apartment,1100,Semi Furnished,3 ,2 
"Plaza Damas 3, Sri Hartamas",500000,Freehold,Condominium,595,Fully Furnished,1 ,1 
"Bougainvilla, Segambut",350000,Freehold,Apartment,1100,Unfurnished,3 ,2 
"28 Mont Kiara, Mont Kiara",2050000,Freehold,Condominium,2535,Fully Furnished,3 + 1,4 
"28 Mont Kiara, Mont Kiara",2400000,Freehold,Condominium,2535,Fully Furnished,4 ,4 
"Abadi Indah Apartment, Taman Desa",265000,Leasehold,Apartment,830,Semi Furnished,3 ,2 
"Banyan Tree, KLCC",5000800,Freehold,Serviced Residence,1786,Semi Furnished,3 ,3 
"Tiffani Kiara, Mont Kiara",960000,Freehold,Condominium,815,Fully Furnished,1 ,1 
"Vista Komanwel, Bukit Jalil",408000,Freehold,Condominium,1525,Fully Furnished,3 + 1,2 
"Casa Desa, Taman Desa",475000,Freehold,Condominium,916,Fully Furnished,2 + 1,2 
"Lake City @ KL North, Kuala Lumpur",580000,Leasehold,Condominium,943,Semi Furnished,3 ,2 
"eNESTa Kepong, Jinjang",495000,Leasehold,Serviced Residence,1044,Semi Furnished,3 ,2 
"Sunway SPK Damansara, Kepong",2200000,Freehold,Terrace,2798,Fully Furnished,4 ,5 
"Sunway SPK Damansara, Kepong",1600000,Freehold,Terrace,2500,Semi Furnished,3 ,3 
"The Westside Three, Desa ParkCity",1150000,Freehold,Condominium,1271,Unfurnished,2 ,2 
"The Westside Three, Desa ParkCity",930000,Freehold,Condominium,1077,Unfurnished,2 ,2 
"Villa Manja, Bandar Menjalara",3600000,Freehold,Semi Detached,3948,Semi Furnished,5 ,4 
"The Elements, Ampang Hilir",330000,Freehold,Condominium,517,Fully Furnished,1 ,1 
"Taman Mastiara, Jalan Ipoh",650000,Freehold,Terrace,1100,Fully Furnished,4 ,3 
"The Mansions, Desa ParkCity",6000000,Freehold,Superlink,7100,Semi Furnished,6 + 1,8 + 1
"The Mansions, Desa ParkCity",5800000,Freehold,Superlink,6213,Semi Furnished,5 + 1,5 + 2
"The Binjai On The Park, KLCC",4500000,Freehold,Serviced Residence,2228,Fully Furnished,3 + 1,4 
"The Mansions, Desa ParkCity",6300000,Freehold,Superlink,6633,Unfurnished,5 + 1,6 + 2
"Nadia, Desa ParkCity",1900000,Freehold,Link,2390,Semi Furnished,3 + 1,3 
"Suria Jelatek Residence, Ampang Hilir",420000,Freehold,Condominium,908,Semi Furnished,3 ,2 
"Kiara View, Mont Kiara",3000000,Leasehold,Semi Detached,4997,Semi Furnished,5 + 1,5 
"Zenia, Desa ParkCity",2700000,Freehold,Link,3079,Fully Furnished,3 + 1,4 + 1
"Bukit Damansara, Damansara Heights",6400000,Freehold,Bungalow,6500,Fully Furnished,5 ,5 
"Desa Putra, Wangsa Maju",500000,Freehold,Condominium,828,Semi Furnished,3 ,2 
"The Westside Two, Desa ParkCity",1680000,Freehold,Condominium,1777,Semi Furnished,3 + 1,3 + 1
"Megan Avenue 1, KLCC",1182000,Freehold,Office,1970,Semi Furnished,N / A,N / A
"KiPark Sri Utara, Jalan Ipoh",600000,Freehold,Townhouse,1900,Semi Furnished,3 ,3 
"Tijani 2 South, Kenny Hills",1400000,Freehold,Condominium,2827,Semi Furnished,4 ,5 
"South View, Bangsar South",760000,Freehold,Condominium,823,Semi Furnished,2 ,2 
"Expressionz Professional Suites, Titiwangsa",790000,Freehold,Serviced Residence,651,Fully Furnished,2 ,2 
